 ,00,01,10,11
Mine Mine,4.553166196729634,3.2884727104134206,4.084478543487685,4.247917973739657
Now You See Me,2.751785915314273,2.566848676802718,2.760585278845337,3.4886198910746935
一路向北,3.162000920624111,2.619314314596759,3.4472064894809424,2.9448293218254804
一點點,3.1453298597474904,2.5286657599591837,3.2979944014882934,3.1681735023416935
七里香,4.352306364137886,3.500288076014762,3.743706282272483,3.702658471869574
三年二班,4.50378046914237,3.401812784767166,3.6143813174652926,4.30472233067372
上海一九四三,2.714801586055972,2.2391532868728663,2.40816780452318,2.6084349303540164
不該,3.9258819626356596,3.1061283179760673,4.26702731943862,3.7630172590886417
世界未末日,3.3273193642022476,3.7136033670545916,3.559910377052489,3.5465229005190833
亂舞春秋,3.5927007001812585,3.1926034151148874,4.209292274695757,3.7266969044352214
以父之名,4.577220179258288,3.597134021944512,4.0324358490295955,4.201186822128125
傻笑,3.5514891414142067,3.3934060671045705,3.867747901764803,4.334939097423942
免費教學錄影帶,4.664233307212827,3.9402559329427014,4.6582875010237625,5.767669166985601
公主病,3.239758838417319,2.9935598605611067,3.613990999722313,4.405853045486242
公公偏頭痛,3.628962163190556,2.988074283542629,4.288599575200059,3.8190490785999023
分裂,2.840610953769384,2.514600072482283,2.715108852317073,2.7728959200303804
前世情人,4.021748348053719,4.0025348437716195,4.329541282358702,4.278472124085562
千里之外,3.958950247534944,2.917582372040398,3.5692890444171286,3.0513908307344053
半島鐵盒,4.445536781506727,3.5884412325431443,3.9628883509480195,4.198223681401952
半獸人,2.5128747050017703,2.4090260208856735,2.7436519253013594,2.5751576573007076
印地安老斑鳩,3.428658794736615,5.217176183539818,3.372866585728531,3.4283095389475315
反方向的鐘,4.13077672577026,3.1766597079499337,3.504134818933818,3.4603714582713274
同一種調調,3.048362391346933,2.9406684802321403,3.2345366310687784,3.7855304135032046
告白氣球,2.318500789351392,3.07229889104679,2.1236158078395793,2.3806814837104433
哪裡都是你,2.833749154716406,2.683243806124776,2.990792838638043,3.1210208148751737
喬克叔叔,4.132982603058322,3.4484693764353924,3.6740029017002622,3.9611400097437337
嘻哈空姐,3.0629879975283396,2.8263995581310954,2.9513914255093625,3.485632732058097
四季列車,3.201791901337638,3.122539327250652,3.720451485717087,3.477557011633053
四面楚歌,4.582594220162864,4.019304638419035,4.8892312560224696,4.924077569523896
回到過去,3.6818760378664632,2.7985620924910948,2.9671943764128064,2.935993524498616
困獸之鬥,1.320628705011908,1.2207404648248674,1.5351970601983886,1.3788550227745224
園遊會,2.8522321880204236,2.6648940633092497,2.8121784421159846,3.038567368547471
外婆,4.961816109359976,3.962446428549567,4.31109437840136,4.653750799320032
夜曲,4.399628726011189,3.2227171642874044,3.388160111999737,3.427990967916536
夜的第七章,3.404192352100205,2.993709936872612,3.7483028981276236,3.4620968469268028
夢想啟動,2.221546606443703,2.235192700641575,2.2207141564192505,3.0781890455520005
大笨鐘,2.7926307086063833,2.272687119695737,2.8529728553878226,3.3544524498934614
天涯過客,3.4289095254153428,2.673219742925505,3.0545955952047024,2.97989135570224
她的睫毛,3.4588957636486555,3.4447948619428734,3.340955533118064,4.079124271314668
好久不見,4.034329513961796,4.132333575685311,4.11085012084274,4.403644117442565
妳聽得到,3.716132426986041,2.72600676872381,3.296375803337566,3.3857004691825
威廉古堡,3.161209209837198,2.727598716673092,3.1997969887074373,3.2542644424979073
娘子,2.465943847293739,2.27124732916103,3.433615023001575,2.3715998233500124
安靜,3.3462602333443123,2.929628287930019,3.244647927921232,3.4278805863806663
完美主義,3.204486572756168,2.3004576281736386,2.5136883036856172,2.52622806749612
將軍,3.502949979430677,4.1850272724748425,3.4480838116669705,3.655874578953405
對不起,4.096028241597918,3.250116400774056,3.579951744202307,3.517622376919429
床邊故事,3.8019362330608146,3.5338930282058687,4.416566329174593,4.178938123415302
彩虹,4.460066736129135,3.75517163023209,3.9543270212600516,3.890676888390142
忍者,2.3994578868576077,2.2997712114873328,2.4622403271082516,2.834087132726803
怎麼了,3.685302092015405,3.158136572338576,4.189018264528898,3.657293160710261
愛在西元前,3.0361593343198563,2.9451319123363016,3.0644058041840774,2.6319593987510106
愛情廢柴,2.896703368740002,2.459830672465262,3.2359176971748917,2.745796452642418
